price,distancia,preco_por_km
1675,1968.49,0.8509060244146529
1325,849.38,1.5599613835974475
643,1464.15,0.4391626540996482
597,1700.91,0.35098858846147063
329,252.55,1.3027123341912492
274,475.71,0.5759811649954805
760,1138.12,0.6677678979369487
1493,2436.88,0.6126686582843636
432,2449.25,0.1763805246504032
373,329.24,1.1329121613412707
1476,3677.55,0.4013541624179141
833,626.23,1.3301822014275904
2632,2501.83,1.0520299141028768
324,878.65,0.3687475103852501
832,1308.36,0.6359106056437067
1178,163.0,7.226993865030675
1862,1711.54,1.0879091344636993
557,1169.17,0.47640633954001554
1949,6078.96,0.3206140524037006
1648,5791.75,0.28454266845081366
3294,1768.55,1.8625427610189138
1151,619.05,1.859300541151765
1881,1908.91,0.9853790906852601
2125,2266.07,0.9377468480673589
903,1523.63,0.5926635731772149
1074,1318.98,0.8142655688486558
454,794.44,0.5714717285131665
325,734.51,0.44247185198295463
627,1327.36,0.47236620057859213
374,897.84,0.41655528824734916
1000,822.2,1.216249087813184
608,427.86,1.4210255691113916
267,458.85,0.5818895063746322
512,1943.16,0.2634883385825151
388,547.48,0.7087016877328852
362,821.31,0.44075927481706056
443,514.15,0.8616162598463484
407,549.74,0.7403499836286245
324,717.92,0.45130376643637177
1125,1630.87,0.6898158651517289
540,957.32,0.5640747085614005
442,678.19,0.6517347645939928
330,366.98,0.899231565752902
704,591.85,1.1894905803835432
1675,1994.98,0.8396074146106728
252,362.79,0.69461672041677
530,1010.35,0.5245706933240956
1307,1948.24,0.6708619061306615
966,2067.22,0.4672942405742979
179,272.6,0.656639765223771
728,1233.55,0.590166592355397
1628,2420.43,0.6726077597782213
478,566.37,0.8439712555396649
905,1566.76,0.5776251627562613
567,1601.81,0.35397456627190493
532,1084.19,0.4906889013918224
664,1679.19,0.3954287483846378
2028,2070.58,0.9794357136647703
781,1117.02,0.6991817514458112
289,745.28,0.38777372262773724
1250,1243.76,1.0050170450890847
793,736.87,1.076173544858659
532,758.51,0.7013750642707414
567,1150.12,0.49299203561367516
1052,589.36,1.7849871046558978
795,466.51,1.7041435339006668
765,853.95,0.8958369927981732
638,1314.33,0.48541842611825037
754,1455.15,0.5181596398996666
376,839.08,0.4481098345807313
627,1210.71,0.5178779393909358
948,1968.49,0.48158740963886026
1547,3140.33,0.49262338671413514
553,1464.15,0.3776935423283133
579,1700.91,0.3404060179550946
324,252.55,1.2829142744011086
300,475.71,0.6306363120388472
555,1138.12,0.4876462938881665
854,2436.88,0.3504481139818128
409,2449.25,0.16698989486577523
370,329.24,1.1238002672822256
932,3677.55,0.2534295930714742
685,626.23,1.093847308496878
342,878.65,0.3892334831844307
657,1308.36,0.5021553700816289
955,163.0,5.858895705521473
1483,1711.54,0.8664711312619044
1834,6078.96,0.3016963427954782
1587,5791.75,0.27401044589286483
1628,1768.55,0.920528116253428
1167,619.05,1.885146595590017
2053,1908.91,1.0754828671859857
649,1523.63,0.4259564329922619
1436,1318.98,1.088720071570456
95,794.44,0.11958108856553043
464,1327.36,0.349566055930569
330,1328.46,0.24840793098776026
546,897.84,0.6081261694734028
999,764.79,1.3062409288824384
503,822.2,0.6117732911700315
289,427.86,0.6754545879493292
260,359.88,0.7224630432366345
258,458.85,0.5622752533507682
501,1943.16,0.25782745630828136
376,547.48,0.68678307883393
338,821.31,0.41153766543692394
417,514.15,0.8110473597199261
339,420.82,0.805570077467801
387,549.74,0.7039691490522793
531,717.92,0.7396367283262759
365,1630.87,0.22380692513811648
551,957.32,0.575565119291355
960,1955.9,0.4908226391942328
440,678.19,0.6487857385098571
704,591.85,1.1894905803835432
948,1994.98,0.475192733761742
1932,2641.21,0.7314829188137255
469,1010.35,0.46419557579056764
3002,1821.8,1.6478208365352949
978,2067.22,0.4730991379727364
630,1233.55,0.5107210895383244
701,1952.84,0.3589643800823416
2012,2688.87,0.7482697192500939
1760,2420.43,0.7271435240845635
495,566.37,0.8739869696488162
2132,1566.76,1.3607699966810487
1182,1601.81,0.7379152333922251
492,1084.19,0.45379499903153503
482,1679.19,0.2870431577129449
792,2319.29,0.341483816167879
736,2070.58,0.35545595919983775
793,1117.02,0.7099246208662334
1746,1243.76,1.4038078085804335
521,736.87,0.7070446618806574
534,758.51,0.7040118126326614
335,589.36,0.5684131939731234
965,466.51,2.068551585175023
888,853.95,1.0398735288951344
358,646.69,0.5535882725881024
294,1314.33,0.2236881148569994
671,1455.15,0.46112084664811187
384,839.08,0.4576440863803213
